57,71,99,59,57
65,75,24,23,65
60,80,78,23,12
57,38,18,11,68
88,81,5,76,50
57,83,94,78,83
20,79,1,67,8
7,4,24,30,76
3,99,59,41,56
75,25,66,29,81
37,63,0,84,10
58,83,35,52,70
10,90,32,40,97
29,65,36,3,8
72,98,13,51,13
37,49,8,2,87
0,27,26,6,60
48,90,50,53,9
72,80,25,99,86
34,43,11,39,42
1,52,97,15,17
31,90,12,1,7
59,62,22,87,71
24,57,65,24,93
98,16,53,82,49
14,50,53,27,0
34,75,38,2,26
23,50,77,82,73
12,5,18,27,56
33,1,98,78,42
37,49,9,9,11
26,74,81,31,1
76,47,47,79,58
16,75,61,73,17
49,23,80,19,39
29,78,31,92,24
20,94,80,70,25
87,49,61,77,10
53,6,13,13,4
65,32,30,94,90
50,32,53,76,62
37,66,22,92,8
16,29,61,71,83
78,78,9,35,27
26,95,2,8,34
52,57,31,7,5
22,36,47,67,73
16,11,46,17,57
42,84,93,88,66
74,17,75,4,2
60,45,89,39,4
2,76,81,9,61
8,93,39,40,17
9,9,57,69,47
94,5,94,94,90
16,43,45,10,87
60,9,53,3,63
73,1,79,84,48
48,74,1,77,9
10,11,81,14,32
53,93,42,49,94
88,74,58,56,59
69,10,66,96,65
3,39,76,11,61
2,29,89,14,63
99,78,84,62,32
1,47,38,18,86
78,25,66,21,96
43,84,56,63,30
41,51,85,32,25
81,55,96,25,27
49,28,74,40,26
17,17,63,44,5
91,8,35,21,14
57,60,35,27,52
48,80,66,63,86
40,91,79,57,41
9,4,35,77,5
86,90,35,73,45
39,83,72,2,82
17,51,58,24,3
98,34,30,99,18
6,80,14,57,13
80,68,83,81,47
9,87,25,25,60
32,22,91,1,96
60,68,91,4,22
28,34,99,44,69
89,66,64,78,96
20,50,89,28,11
52,92,49,16,57
58,25,80,0,48
70,72,83,64,43
59,41,83,26,12
92,82,91,15,27
31,49,11,39,68
41,33,91,2,44
64,10,4,56,43
70,53,98,35,62
3,27,8,54,4
